,dataset,algorithm,config,runtime_x,percent_changes_detected_x,f1_detected_cps_at_x,precision_x,recall_x,actual_cps,detected_cps,detected_cps_at,runtime_y,percent_changes_detected_y,f1_detected_cps_at_y,precision_y,recall_y,mean_until_detection
0,CIF,MMDEW,$\alpha = 0.0001$,3989.738263368607,111.11111111111111,0.9473684210526316,0.9,1.0,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[1606938044258990275541962092341162602522202993782792835301375, 3213876088517980551083924184682325205044405987565585670602751, 4820814132776970826625886277023487807566608981348378505904127, 6427752177035961102167848369364650410088811975131171341205503, 8034690221294951377709810461705813012611014968913964176506879, 11248566309812931928793734646388138217655420956479549847109631, 12855504354071922204335696738729300820177623950262342682411007, 16069380442589902755419620923411626025222029937827928353013759, 19283256531107883306503545108093951230266435925393514023616511, 20890194575366873582045507200435113832788638919176306858917887]","[3689, 6768, 17570, 19495, 28967, 32489, 36498, 42646, 48582, 55968]",3989.738263368607,111.11111111111111,0.9473684210526316,0.9,1.0,2109.222222222222
1,CIF,MMDEW_nys,$\alpha = 0.01$,2377.5725359916687,66.66666666666666,0.8,1.0,0.6666666666666666,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]","[12287, 18431, 24575, 28671, 36863, 53247]","[12973, 19968, 25883, 32484, 39679, 54998]",2377.5725359916687,66.66666666666666,0.8,1.0,0.6666666666666666,1997.5
2,CIF,NewMA,"$wsize=50, forget_factor=0.07, thresholding_quantile=0.999$",10.480992078781128,111.11111111111111,0.631578947368421,0.6,0.6666666666666666,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]",[],"[11684, 24808, 27406, 28698, 32128, 38305, 38589, 39188, 52692, 56844]",10.480992078781128,111.11111111111111,0.631578947368421,0.6,0.6666666666666666,3076.8333333333335
3,CIF,ScanB,"$wsize = 50, numw = 3, thresholding_quantile=0.999, forget_factor=0.06$",1264.9089949131012,144.44444444444443,0.6363636363636364,0.5384615384615384,0.7777777777777778,"[6000, 12000, 18000, 24000, 30000, 36000, 42000, 48000, 54000]",[],"[3913, 17613, 25348, 27247, 29469, 29470, 34068, 41182, 46163, 53700, 54828, 54978, 59117]",1264.9089949131012,144.44444444444443,0.6363636363636364,0.5384615384615384,0.7777777777777778,3843.1428571428573
4,FMNIST,MMDEW,$\alpha = 0.0001$,2502.7904438972478,100.0,1.0,1.0,1.0,"[7000, 14000, 21000, 28000, 35000, 42000, 49000, 56000, 63000]","[6427752177035961102168188651731571348552275349738603109416959, 12855504354071922204336037021096221758641087324869774450622463, 19283256531107883306504225672827793107193362674608377560039423, 25711008708143844408672414324559364455745638024346980669456383, 32138760885179805510840262693924014865834468446222225720213503, 38566513062215766613008111063288665275923280421353397061419007, 43387327194992737439633997340312153083489889402701775567323135, 49815079372028698541801845709676803493578701377832946908528639, 56242831549064659643970034361408374842130976727571550017945599]","[7094, 14094, 21070, 28153, 35070, 42115, 49243, 56164, 63157]",2502.7904438972478,100.0,1.0,1.0,1.0,128.88888888888889
5,FMNIST,MMDEW_nys,$\alpha = 0.001$,2148.717589855194,77.77777777777779,0.8750000000000001,1.0,0.7777777777777778,"[7000, 14000, 21000, 28000, 35000, 42000, 49000, 56000, 63000]","[7167, 15359, 21503, 29695, 34815, 41983, 62463]","[7581, 17023, 22691, 32598, 35482, 42445, 66047]",2148.717589855194,77.77777777777779,0.8750000000000001,1.0,0.7777777777777778,1981.0
6,FMNIST,NewMA,"$wsize=200, forget_factor=0.07, thresholding_quantile=0.999$",364.5714182853699,144.44444444444443,0.5454545454545455,0.46153846153846156,0.6666666666666666,"[7000, 14000, 21000, 28000, 35000, 42000, 49000, 56000, 63000]",[],"[269, 619, 3006, 7001, 12833, 16911, 21001, 25573, 31742, 37306, 38507, 40528, 67029]",364.5714182853699,144.44444444444443,0.5454545454545455,0.46153846153846156,0.6666666666666666,2165.0
7,FMNIST,ScanB,"$wsize = 300, numw = 3, thresholding_quantile=0.999, forget_factor=0.04$",3416.937766313553,100.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[7000, 14000, 21000, 28000, 35000, 42000, 49000, 56000, 63000]",[],"[2557, 12029, 21010, 21011, 34279, 40981, 46923, 48382, 58372]",3416.937766313553,100.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4099.0
8,Gas,MMDEW,$\alpha = 1e-20$,106.65261566638947,200.0,0.6696428571428572,0.5050505050505051,1.0,"[1936, 4945, 6778, 9704, 11345]","[1606938044258990275541962092341162602522202993782792835301375, 3213876088517980551083924184682325205044405987565585670602751, 4820814132776970826625886277023487807566608981348378505904127, 6427752177035961102167848369364650410088811975131171341205503, 8034690221294951377709810461705813012611014968913964176506879, 9641628265553941653251772554046975615133217962696757011808255, 11248566309812931928793734646388138217655420956479549847109631, 12855504354071922204335696738729300820177623950262342682411007, 16069380442589902755419620923411626025222029937827928353013759, 17676318486848893030961583015752788627744232931610721188315135, 19283256531107883306503545108093951230266435925393514023616511]","[2588, 2846, 3260, 3461, 5304, 7198, 7417, 9582, 9952, 11631, 12706]",110.35882377624512,220.00000000000003,0.625,0.45454545454545453,1.0,393.0
9,Gas,MMDEW,$\alpha = 1e-20$,106.65261566638947,200.0,0.6696428571428572,0.5050505050505051,1.0,"[2565, 4501, 7427, 10436, 12077]","[1606938044258990275541962092341162602522202993782792835301375, 3213876088517980551083924184682325205044405987565585670602751, 6427752177035961102167848369364650410088811975131171341205503, 8034690221294951377709810461705813012611014968913964176506879, 9641628265553941653251772554046975615133217962696757011808255, 11248566309812931928793734646388138217655420956479549847109631, 12855504354071922204335696738729300820177623950262342682411007, 14462442398330912479877658831070463422699826944045135517712383, 16069380442589902755419620923411626025222029937827928353013759]","[2977, 3694, 4872, 7967, 8368, 9675, 10457, 11467, 12509]",102.9464075565338,180.0,0.7142857142857143,0.5555555555555556,1.0,355.2
